geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
ortho_1.05_1.20,5.0,xyz_only,"3-axis:(1, 2, 2)",3,0.38494893370328,0.0551517420704641,0.1041666666666666,-0.7608702836487644,3,True,1.6995103334438275
ortho_1.05_1.20,10.0,score_q,"3-axis:(1, 1, 2)",3,0.1174333084752019,0.1583035928071149,0.4791666666666667,-0.5575094152200767,3,True,1.379911835065264
ortho_1.05_1.20,10.0,score_iso,"3-axis:(1, 1, 2)",3,0.1174333084752019,0.1583035928071149,0.375,-0.5575094152200767,3,True,1.4789834467577758
ortho_1.05_1.20,10.0,q_only,"3-axis:(1, 1, 2)",3,0.0508668242680639,0.0144791853623227,0.7083333333333334,-0.5323445672662,3,True,1.1440104562327764
ortho_1.05_1.20,10.0,xyz_only,"3-axis:(1, 1, 2)",3,0.1174333084752019,0.1583035928071149,0.5416666666666666,-0.5575094152200767,3,True,1.3449782024982522
ortho_1.10_1.30,0.0,score_q,"1-axis:(1,)",1,3.2883790649251226,0.1399097547808787,0.9166666666666666,1.8158584227677892,1,True,1.8760787303265483
ortho_1.10_1.30,0.0,score_iso,"1-axis:(1,)",1,3.2883790649251226,0.1399097547808787,0.9791666666666666,1.8158584227677892,1,True,1.9581520466574982
ortho_1.10_1.30,0.0,q_only,"1-axis:(1,)",1,3.283404786031469,0.1399097547808787,0.9791666666666666,1.8158584227677892,1,True,1.9573181341053647
ortho_1.10_1.30,0.0,xyz_only,"1-axis:(1,)",1,3.2883790649251226,0.1399097547808787,1.0,1.8158584227677892,1,True,1.9880016255273179
ortho_1.10_1.30,1.0,score_q,"1-axis:(1,)",1,2.1887706508179305,0.2769331001552149,0.0,-0.9451756363633802,2,False,2.46025925300135
ortho_1.10_1.30,1.0,score_iso,"1-axis:(1,)",1,2.219553863102356,0.2769331001552149,0.0,-0.9451756363633802,2,False,2.4630914080597783
ortho_1.10_1.30,1.0,q_only,"1-axis:(1,)",1,2.1887706508179305,0.0673053620230215,0.0,0.8598628886749305,1,True,2.0852604168198368
ortho_1.10_1.30,1.0,xyz_only,"1-axis:(1,)",1,2.219553863102356,0.2769331001552149,0.0,-0.9451756363633802,2,False,2.4630914080597783
ortho_1.10_1.30,1.5,score_q,"3-axis:(1, 1, 2)",3,1.168860909245636,0.0076329165268372,0.9791666666666666,0.8675803000926159,3,True,1.554067286393314
ortho_1.10_1.30,1.5,score_iso,"2-axis:(1, 1)",2,1.7941878662975062,0.2589914010765522,0.9375,-0.38569373617280517,2,True,1.6554646425764663
ortho_1.10_1.30,1.5,q_only,"3-axis:(1, 1, 2)",3,1.2152395262650202,0.0076329165268372,1.0,0.8675803000926159,3,True,1.5987261051486383
ortho_1.10_1.30,1.5,xyz_only,"2-axis:(1, 1)",2,1.7941878662975062,0.2589914010765522,0.9791666666666666,-0.38569373617280517,2,True,1.7201927154051477
ortho_1.10_1.30,2.0,score_q,"3-axis:(1, 1, 1)",3,0.9813761996039888,0.0081638788988593,0.9791666666666666,0.7711844042229332,3,True,1.4600105796743554
ortho_1.10_1.30,2.0,score_iso,"3-axis:(1, 1, 2)",3,1.4525032183048716,0.2454905378608115,0.1875,0.8219478662020238,2,False,1.9738398325774003
ortho_1.10_1.30,2.0,q_only,"3-axis:(1, 1, 2)",3,1.009823167590249,0.0081638788988593,0.9791666666666666,0.7711844042229332,3,True,1.4630928976539483
ortho_1.10_1.30,2.0,xyz_only,"3-axis:(1, 1, 2)",3,1.4525032183048716,0.2454905378608115,0.1875,0.8219478662020238,2,False,1.9738398325774003
ortho_1.10_1.30,5.0,score_q,"3-axis:(1, 1, 2)",3,0.3513482615026932,0.185699536903761,0.1875,-0.6304223514284223,3,True,1.9225355354437497
ortho_1.10_1.30,5.0,score_iso,"3-axis:(1, 1, 2)",3,0.3513482615026932,0.185699536903761,0.3125,-0.6304223514284223,3,True,1.742114043158967
